objectid,filename,youtubeid,vimeoid,title,creator,date,location,format,latitude,longitude,source,subject
RaJ_2006-3,,hLw4PzGmu2w,,Roméo et Juiette (2006),Yves Desgagnés,2006,Canada,MovingImage,62.393303,-96.818145,Wikipedia - https://en.wikipedia.org/wiki/Romeo_and_Juliet_(2006_film),Romeo and Juliet;Feature;Loose/Inspired;Drama;Modernized;Jeanne Moreau;Thomas Lalonde;Charlotte Aubin;Pierre Curzi;Gilles Renaud;Danny Gagné;Hubert Lemire;Patrice Bélanger;David Michael;Maude Guérin;Liliana Komorowska
RaJ_2006-4,,H0Sxcp8SVKM,,Romeo & Juliet: Sealed with a Kiss,Phil Nibbelink,2005,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt0830199/,Romeo and Juliet;Feature;Loose/Inspired;Drama/Comedy;Romance;Musical;Animation;Daniel Trippett;Tricia Trippett;Chip Albers;Michael Toland;Steve Goldberg;Phil Nibbelink;Chanelle Nibbelink;Donald Corren
RaJ_2006-5,,nku2S06BeDA,,Rockin' Romeo & Juliet,David McGaw,2006,Germany;United States,MovingImage,51.165707,10.452764,British Universities Film & Video Council - https://learningonscreen.ac.uk/shakespeare/search/index.php/title/av68047,Romeo and Juliet;Feature;Loose/Inspired;Drama;Musical;David McGaw;Ginger Wade;Michael Haboush;Janet Vincent Lee;Elsuko Hasimoto;Gregg Edwards;Kayo Yamazaki;Larry Gaiber;Mark Jue;Tristan Creeley
RaJ_2006-6,,v3_Gtzx64Bc,,Romeo and Juliet: A Monkey's Tale,Karina Holden,2006,Australia,MovingImage,-26.853388,133.275154,IMDb - https://www.imdb.com/title/tt1265163/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Documentary;
RaJ_2006-7,,A5eT8Rf_szo,,Guca! (Gucha: Distant Trumpet),Dusan Milic,2006,Serbia,MovingImage,44.206802,20.911009,IMDb - https://www.imdb.com/title/tt0906014/,Romeo and Juliet;Feature;Loose/Inspired;Drama;Comedy;Musical;Modernized;Marko Markovic;Mladen Nelevic;Aleksandra Manasijevic;Nenad Okanovic;Slavoljub Pesic;Olga Odanović;Mirjana Djurdjevic;Zumrita Jakupovic;Svetislav Pesic;Marko Jeremic;Jovo Maksic;Nikola Pejakovic;Rade Radivojevic;Fedja Stojanovic;Dejana Miladinovic;Asok Murti;Tijana Viskovic;Radovan Miljanic
RaJ_2006-8,,RXVytQngrzc,,Rome & Juliet (2006),Connie Macatuno,2006,Phillippines,MovingImage,12.8797,121.774,IMDb - https://www.imdb.com/title/tt0961746/,Romeo and Juliet;Feature;Loose/Inspired;Drama;Romance;Queer;Lesbian;LGBTQ;Andrea Del Rosario;Mylene Dizon;Rafael Rosell;Tessie Tomas;Glydel Mercado;Mico Palanca;Lui Villaruz;Crispin Pineda;Liza Diño;Joshua Deocareza;Katy Dilao;Cj Mercado;Frances Ignacio
RaJ_2007-1,,weiRrntiG7k,,Romeo y Julieta (2007),Raúl Lecouna,2007,Argentina,MovingImage,-38.421295,-63.587402,Wikipedia - https://en.wikipedia.org/wiki/Romeo_y_Julieta_(TV_series),Romeo and Juliet;Series;Loose/Inspired;Drama;Soap Opera;Elías Viñoles;Brenda Gandini;Magalí Moro;César Vianco;Benjamín Amadeo;Graciela Tenenbaum;Diana Lamas;Álex Benn;Jessica Schultz;Tony Lestingi;Elsa Pinilla;Edward Nutkiewicz;Jorge García Marino;Anahí Martella;César Bordón;Bernarda Pagés;Norberto Gonzalo;Sofía Elliot;Sebastián Pajoni
RaJ_2007-2,,TXOI7So_SLg,,Saints & Sinners,Ted Koland,2007,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt0897330/,Romeo and Juliet;Series;Loose/Inspired;Drama;Romance;Crime;Modernized;Maria Conchita Alonso;Charles Shaughnessy;Scott Bailey;Natalie Martinez;Ryan Scott Greene;Hank Cheyne;Mel Harris;Nick Stabile;Shelli Boone;Chris Engen;James Harvey Ward;David Grant Wright;Joe Tabb;Michael Duvert;Christopher Fairbanks;Juan Monsalvez;Chris Hoffman;Tyler Kain
RaJ_2007-3,,xQmLbQm2EOI,,Romeo × Juliet (ロミオ×ジュリエット),Fumitoshi Oizaki;Reiko Yoshida,2007,Japan,MovingImage,34.886306,134.379711,Wikipedia - https://en.wikipedia.org/wiki/Romeo_%C3%97_Juliet,Romeo and Juliet;Series;Loose/Inspired;Drama;Fantasy;Romance;Animation;Anime;Fumie Mizusawa;Brina Palencia;Sean Hennigan;Chris Burnett;Takahiro Mizushima;Ryô Hirohashi;Miyu Matsuki;Yutaka Koizumi;Kôsuke Toriumi;Hirofumi Nojima;Kôji Ishii;Katsuhisa Hôki;Shinnosuke Tachibana;Kazuhiko Inoue;Tetsuya Kakihara;Ayako Kawasumi;Ryûgo Saitô;Eiji Miyashita
RaJ_2007-4,,DBWCGKhU610,,Gounod's Roméo et Juliette,Guy Joosten;Gary Halvorson,2007,United States,MovingImage,36.966428,-95.844032,IMDb - https://www.imdb.com/title/tt1161054/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Tragedy;Romance;Musical;Plácido Domingo;Renée Fleming;Marc Heller;Louis Otey;Charles Taylor;Anna Netrebko;Nathan Gunn;Roberto Alagna;Jane Bunnell;David Won;Robert Lloyd;Isabel Leonard;Tony Stevenson;Dean Peterson
RaJ_2007-5,,,,Romeo and Juliet with the Royal Ballet,Ross MacGibbon,2007,United Kingdom,MovingImage,54.633221,-3.432277,IMDb - https://www.imdb.com/title/tt5663038/,Romeo and Juliet;TV/Video/Recording;Loose/Inspired;Drama/Tragedy;Romance;Musical;Carlos Acosta;Tamara Rojo
RaJ_2007-6,,nQ12jzTDJck,,Bring It On: In It to Win It,Steve Rash,2007,United States,MovingImage,36.966428,-95.844032,Wikipedia - https://en.wikipedia.org/wiki/Bring_It_On:_In_It_to_Win_It,Romeo and Juliet;Feature;Loose/Inspired;Comedy;Sport;Teen;Ashley Benson;Cassie Scerbo;Michael Copon;Jennifer Tisdale;Anniese Taylor Dendy;Noel Areizaga;Kierstin Koppel;Adam Vernier;Ashley Tisdale
RaJ_2008-1,,oDnavzBNzjY,,uGugu no Andile,Lodi Matsetela;Minky Schlesinger,2008,South Africa,MovingImage,-28.48322,24.676997,IMDb - https://www.imdb.com/title/tt1382584/,Romeo and Juliet;Series;Loose/Inspired;Drama;Litha Booi;Lungelo Dhladhla;Harriet Lenabe;Daphney Hlomuka;Jabulani Hadebe;Luzuko Nkqeto;Mac Mathunjwa;Vuyisa 'Breeze' Yoko;Zolisa Xaluva;Neil McCarthy
